X_deg,Y_deg,Pop,Elevation,LandCover,NightLights,Slope,GHI,SolarRestriction,TravelHours,WindVel,SubstationDist,RoadDist,GridDistCurrent,GridDistPlan,Hydropower,HydropowerFID,HydropowerDist,X,Y,Country,VIIRS,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartCalibrated,IsUrban,PopFuture,ElecStart,NewConnections
1.93675,6.304069999999999,232.73712,1.0,11,0,0.07389,1871,1,1.3,5.32445,11.62438,5.1101,7.31583,4.829619999999999,290,7616,11.0833,382391.2284,696936.8862,Benin,0.0,4,1,1,5,5,3.0300000000000002,1.0461532799189008,0.09564444782924586,235.54472329921768,0,294.2434736041664,0,294.2434736041664
1.91672,6.304069999999999,56.41896,2.62894,11,0,0.04732,1870,1,1.41667,5.2176599999999995,10.56581,4.86132,6.21115,2.77732,290,7616,11.6494,380174.6151,696941.446,Benin,0.0,5,1,1,5,5,3.08,1.0485912338854266,0.08949136437682237,57.09956504587506,0,71.32902034507654,0,71.32902034507654
1.9067,6.304069999999999,18.44555,4.0,11,0,0.05706,1869,1,1.5333299999999999,5.129580000000001,10.1773,4.82316,5.89859,1.89589,290,7616,12.07597,379066.3031,696943.7579,Benin,0.0,5,1,1,5,5,3.08,1.0485912338854266,0.08453026262646524,18.668066232201742,0,23.320228008919813,0,23.320228008919813
1.89668,6.304069999999999,33.09618,2.0,11,0,0.06716,1868,1,1.4666700000000001,5.05541,9.89828,4.44422,5.71796,1.39039,290,7616,12.585980000000001,377957.9875,696946.0909999999,Benin,0.0,5,2,1,5,5,3.17,1.0532493653138753,0.0804367339271783,33.49543278855174,0,41.84263759141102,0,41.84263759141102
1.8866599999999998,6.304069999999999,78.16646,5.0,11,0,0.039439999999999996,1865,1,1.4666700000000001,4.92629,9.73816,4.06529,4.679069999999999,1.49769,290,7616,13.16974,376849.6681,696948.4454,Benin,0.0,5,2,1,5,5,3.17,1.0532493653138753,0.07350358829242826,79.10941405470415,0,98.82381766063415,0,98.82381766063415
1.8465900000000002,6.304069999999999,115.39188,0.0,11,0,0.07887000000000001,1862,1,0.7,4.42149,10.33583,0.2279,0.35322,0.35322,290,7616,16.067239999999998,372416.3535,696958.0762,Benin,0.0,5,1,1,5,5,3.08,1.0485912338854266,0.04902129426501632,116.78389955833659,0,145.88694573910314,0,145.88694573910314
1.83657,6.304069999999999,169.91928000000001,9.0,14,0,0.12229000000000001,1860,1,0.68333,4.26494,10.769039999999999,1.31866,0.6389600000000001,0.6389600000000001,290,7616,16.8961,371308.0154,696960.5371,Benin,0.324971229,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.042364585173490295,171.96908594040477,0,214.82451608715863,1,149.33508990669486
1.82655,6.304069999999999,76.83208,10.0,14,0,0.12229000000000001,1859,1,0.88333,3.99833,11.294789999999999,2.4124,1.16381,1.16381,290,7616,17.755489999999998,370199.6733,696963.0193,Benin,0.138350204,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.032139494636494244,77.7589368816773,0,97.13679581251671,0,97.13679581251671
2.0169200000000003,6.312180000000001,857.33136,4.0,0,0,0.06838,1866,1,0.35,5.3777800000000004,17.63097,5.52759,2.3313900000000003,2.3313900000000003,290,7616,12.28309,391261.3872,697816.0463,Benin,0.0,4,1,1,5,5,3.0300000000000002,1.0461532799189008,0.09877113387666726,867.6736996957854,0,1083.9016887215246,0,1083.9016887215246
2.0069,6.312180000000001,1088.88025,0.0,0,0,0.021480000000000003,1867,1,0.38333,5.34846,16.67974,6.09205,3.24514,3.24514,290,7616,11.67976,390153.1163,697818.1479,Benin,0.0,4,1,1,5,5,3.0300000000000002,1.0461532799189008,0.09704781055371135,1102.0158588893466,0,1376.6429141125966,0,1376.6429141125966
1.9467900000000002,6.312180000000001,260.3512,2.0,11,0,0.09409,1868,1,1.08333,5.052169999999999,11.575610000000001,4.50655,7.42501,6.1737,290,7616,10.06359,383503.4199,697831.2049,Benin,0.0,5,1,1,5,5,3.08,1.0485912338854266,0.08025972033323968,263.4919232678452,0,329.1552350781562,0,329.1552350781562
1.92675,6.312180000000001,145.6595,1.0,11,0,0.052129999999999996,1865,1,1.5333299999999999,4.98693,10.275269999999999,3.9909199999999996,5.93832,4.19262,290,7616,10.45089,381286.8268,697835.7279,Benin,0.0,5,1,1,5,5,3.08,1.0485912338854266,0.07672837992294644,147.41665026791773,0,184.1535086600972,0,184.1535086600972
